Track Name,Artist Name,Album Name
Wann wird's mal wieder richtig Sommer,Rudi Carrell,
You Can Call Me Al,Paul Simon,
Start Me Up,The Rolling Stones,
The Twist,Chubby Checker,
Blurred Lines,Robin Thicke feat. T.I. & Pharrell Williams,
