Artist,Title,Year,YouTube URL
Rudi Carrell,Wann wird's mal wieder richtig Sommer,1975,https://www.youtube.com/watch?v=KzEOvyDcVas
Paul Simon,You Can Call Me Al,1986,https://www.youtube.com/watch?v=uq-gYOrU8bA
The Rolling Stones,Start Me Up,1981,https://www.youtube.com/watch?v=SGyOaCXr8Lw
Chubby Checker,The Twist,1960,https://www.youtube.com/watch?v=-CCgDvUM4TM
Robin Thicke feat. T.I. & Pharrell Williams,Blurred Lines,2013,https://www.youtube.com/watch?v=yyDUC1LUXSU
